Tipo;Distrito;Cuartos;Vacantes;Suites;Area;Valor;Mantenimiento;Impuesto
Local comercial;Santa Anita;0;0;0;30;530.0;270.0;
Local comercial;Ate;0;1;0;22;600.0;797.0;164.0
Local comercial;Comas;0;0;0;30;2300.0;880.0;
Tienda/Salón;Pachacámac;0;0;0;172;2500.0;;391.0
Local comercial;Callao;0;1;0;24;400.0;600.0;53.0
Local comercial;Rímac;0;8;0;408;90404.0;26000.0;
Almacén;San Miguel;0;0;0;1000;9800.0;;630.0
Almacén;Ancón;0;0;0;190;3600.0;;291.0
Casa comercial;San Borja;12;0;12;360;17000.0;;1150.0
Almacén;Lince;0;0;0;1599;30394.0;4399.0;1199.0
Local comercial;Ate;0;0;0;125;3500.0;3100.0;775.0
Local comercial;Chorrillos;0;1;0;80;4500.0;2183.0;464.0
Tienda/Salón;Lince;0;0;0;240;2500.0;;
Local comercial;San Miguel;0;0;0;50;1200.0;1260.0;266.0
Local comercial;Lince;0;1;0;25;700.0;484.0;112.0
Tienda/Salón;Jesús María;0;0;0;1200;58000.0;;4750.0
Local comercial;Lince;0;1;0;40;1400.0;480.0;
Local comercial;Pachacámac;0;0;0;309;15000.0;5000.0;650.0
Local comercial;Pachacámac;0;0;0;44;900.0;150.0;166.0
Local comercial;Villa El Salvador;0;8;0;834;72435.0;16680.0;
Local comercial;Pachacámac;0;1;0;182;8500.0;3200.0;
Local comercial;Jesús María;0;0;0;25;800.0;400.0;104.0
Local comercial;Lince;0;1;0;21;600.0;500.0;
Local comercial;Jesús María;0;1;0;22;800.0;470.0;170.0
Local comercial;Ate;0;1;0;35;1500.0;1200.0;200.0
Local comercial;Pachacámac;0;0;0;30;500.0;490.0;85.0
Local comercial;Pachacámac;0;0;0;106;3500.0;2112.0;480.0
Local comercial;Ate;0;1;0;20;1100.0;700.0;
Tienda/Salón;Lince;0;0;0;25;450.0;;
Local comercial;Pachacámac;0;0;0;31;800.0;546.0;127.0
Local comercial;Pachacámac;0;3;0;134;11840.0;2898.0;861.0
Local comercial;Lince;0;0;0;30;1500.0;580.0;
Local comercial;Ate;0;0;0;5124;614000.0;;
Local comercial;Ate;0;1;0;46;1450.0;885.0;253.0
Casa comercial;Lurigancho;0;0;0;80;6000.0;;1000.0
Almacén;San Juan de Miraflores;0;14;0;590;15000.0;;
Tienda/Salón;San Luis;0;1;0;55;1800.0;925.0;525.0
Almacén;Lince;0;0;0;400;7000.0;;
Local comercial;Jesús María;0;1;0;38;2500.0;346.0;
Local comercial;Ate;0;2;0;113;8000.0;2290.0;8472.0
Local comercial;Chorrillos;0;15;0;650;55250.0;12122.0;
Casa comercial;El Agustino;0;0;0;120;2400.0;;
Local comercial;Pachacámac;0;0;0;66;3000.0;667.0;120.0
Local comercial;Pachacámac;0;0;0;33;900.0;310.0;71.0
Local comercial;Callao;0;1;0;25;700.0;817.0;
Local comercial;San Luis;0;1;0;23;500.0;450.0;650.0
Local comercial;Pachacámac;0;0;0;107;2500.0;1702.0;427.0
Tienda/Salón;Villa El Salvador;0;4;0;98;2800.0;700.0;180.0
Tienda/Salón;Rímac;0;0;0;50;15000.0;;500.0
Local comercial;San Martín de Porres;0;1;0;29;1000.0;653.0;
Tienda/Salón;San Borja;0;0;0;235;20000.0;;
Tienda/Salón;Comas;0;0;0;100;1800.0;;150.0
Local comercial;Pachacámac;0;0;0;194;6800.0;4638.0;1265.0
Tienda/Salón;Ate;0;2;0;150;5000.0;2280.0;
Local comercial;Los Olivos;0;2;0;270;8000.0;;495.0
Local comercial;Pachacámac;0;0;0;30;650.0;421.0;
Tienda en Centro Comercial;Ate;0;1;0;50;2900.0;1830.0;993.0
Local comercial;Chorrillos;0;56;0;4235;529375.0;114599.0;34345.0
Almacén;San Miguel;0;60;0;700;9900.0;;
Tienda en Centro Comercial;Jesús María;0;1;0;105;6000.0;490.0;1.0
Local comercial;Ate;0;1;0;28;800.0;720.0;130.0
Local comercial;Jesús María;0;1;0;26;700.0;450.0;
Local comercial;Pachacámac;0;4;0;250;3000.0;2120.0;506.0
Local comercial;Ventanilla;0;0;0;178;2500.0;;290.0
Local comercial;Chorrillos;0;7;0;457;50000.0;17546.0;
Local comercial;Pachacámac;0;0;0;320;16000.0;6340.0;1775.0
Tienda/Salón;Comas;0;0;0;100;2200.0;;16.0
Local comercial;Pachacámac;0;0;0;60;2000.0;860.0;170.0
Local comercial;Pachacámac;0;0;0;200;6000.0;3730.0;500.0
Local comercial;Ate;0;1;0;35;2000.0;1009.0;262.0
Casa comercial;Pachacámac;0;2;0;258;14000.0;4900.0;1000.0
Tienda/Salón;Bellavista;0;1;0;40;1300.0;;154.0
Tienda en Centro Comercial;Ate;0;2;0;84;5500.0;995.0;420.0
Local comercial;Pachacámac;0;0;0;151;6040.0;5200.0;
Local comercial;Chorrillos;0;17;0;795;107394.0;29832.0;
Local comercial;Ancón;0;1;0;24;800.0;454.0;21.0
Local comercial;Pachacámac;0;0;0;116;2600.0;1090.0;
Tienda en Centro Comercial;Mi Perú;0;0;0;145;7000.0;;
Local comercial;San Borja;0;0;0;29;1600.0;494.0;101.0
Almacén;La Punta;0;0;0;2170;40000.0;;2784.0
Almacén;El Agustino;0;34;0;14730;301965.0;55974.0;13257.0
Local comercial;Ate;0;1;0;21;1200.0;550.0;100.0
Casa comercial;Chaclacayo;0;2;0;180;4500.0;;
Local comercial;Pachacámac;0;0;0;660;56100.0;8400.0;
Local comercial;Pachacámac;0;0;0;60;1500.0;898.0;168.0
Local comercial;Pachacámac;0;0;0;80;1555.0;;
Local comercial;Ate;0;1;0;21;800.0;727.0;
Local comercial;Ate;0;1;0;27;700.0;700.0;47.0
Almacén;La Perla;0;8;0;1981;39630.0;7928.0;2377.0
Local comercial;Ate;0;0;0;33;1000.0;500.0;1000.0
Local comercial;Pachacámac;0;0;0;220;12000.0;4800.0;1365.0
Local comercial;Pachacámac;0;1;0;259;23319.0;5036.0;572.0
Local comercial;Ate;0;1;0;35;1250.0;1000.0;206.0
Local comercial;Pachacámac;0;0;0;375;28125.0;6000.0;
Local comercial;Pachacámac;0;0;0;56;1400.0;931.0;175.0
Local comercial;Pachacámac;0;0;0;70;2300.0;1960.0;249.0
Local comercial;Ate;0;1;0;80;4500.0;1800.0;
Tienda/Salón;Comas;0;0;0;49;5200.0;;
Local comercial;La Punta;0;1;0;34;900.0;280.0;
Local comercial;Pachacámac;0;1;0;94;6000.0;2360.0;
Local comercial;Pachacámac;0;0;0;62;2170.0;1178.0;
Local comercial;San Miguel;0;1;0;21;1400.0;681.0;80.0
Local comercial;Pachacámac;0;0;0;38;600.0;618.0;
Local comercial;Callao;0;1;0;21;700.0;289.0;56.0
Local comercial;Pachacámac;0;0;0;55;400.0;900.0;84.0
Local comercial;Pachacámac;0;0;0;196;7000.0;1200.0;747.0
Local comercial;Villa El Salvador;0;5;0;525;44625.0;10500.0;
Local comercial;Rímac;0;0;0;150;25000.0;2400.0;
Tienda/Salón;Ate;0;10;0;440;20000.0;15000.0;
Local comercial;Rímac;0;0;0;150;25000.0;2400.0;694.0
Local comercial;Comas;0;8;0;415;53950.0;15978.0;
Local comercial;Ate;0;1;0;30;1800.0;975.0;304.0
Local comercial;Ate;0;1;0;25;400.0;585.0;105.0
Local comercial;Pachacámac;0;0;0;758;30320.0;11226.0;
Tienda en Centro Comercial;Ate;0;4;0;310;5000.0;7800.0;7000.0
Local comercial;Ate;0;0;0;30;9273.0;;
Local comercial;Ate;0;4;0;132;3835.0;2560.0;677.0
Tienda/Salón;Ate;0;10;0;470;34000.0;10350.0;
Tienda/Salón;La Punta;0;4;0;180;12500.0;;
